chr,start,end,gene_symbol,strand
chr1,861120,879961,SAMD11,+
chr1,879582,894679,NOC2L,-
chr1,901876,910488,PLEKHN1,+
chr1,1017197,1051736,C1orf159,-
chr1,1146705,1149548,TNFRSF4,-
chr1,1152287,1167447,SDF4,-
chr1,1167628,1170421,B3GALT6,+
chr1,1189291,1209234,UBE2J2,-
chr1,1215815,1227409,SCNN1D,+
chr1,1243959,1247057,PUSL1,+
chr1,1246964,1260067,INTS11,-
chr1,1260142,1264276,CPTP,+
chr1,1266725,1270700,TAS1R3,+
chr1,1288068,1298921,MXRA8,-
chr1,1321090,1334718,CCNL2,-
chr1,1337275,1342693,MRPL20,-
chr1,1407134,1431584,ATAD3B,+
chr1,1447522,1470067,ATAD3A,+
chr1,1477052,1510262,SSU72,-
chr1,1550794,1565990,MIB2,+
chr1,1570602,1590558,CDK11B,-
chr1,1592938,1624243,SLC35E2B,-
chr1,1633821,1656004,CDK11A,-
chr1,1656276,1677438,SLC35E2,-
chr1,1682670,1711508,NADK,-
chr1,2005085,2116834,PRKCZ,+
chr1,2115898,2139172,FAAP20,-
chr1,2252691,2323190,MORN1,-
chr1,2323213,2336883,RER1,+
chr1,2439969,2458067,PANK4,-
chr1,2985741,3355185,PRDM16,+
chr1,3547330,3566671,WRAP73,-
chr1,3607235,3652765,TP73,+
chr1,3696783,3713068,LRRC47,-
chr1,3728644,3773797,CEP104,-
chr1,3773830,3801993,DFFB,+
chr1,3805696,3816857,C1orf174,-
chr1,5922867,6052533,NPHP4,-
chr1,6052357,6161253,KCNAB2,+
chr1,6245079,6259679,RPL22,-
chr1,6266188,6281359,RNF207,+
chr1,6324331,6453826,ACOT7,-
chr1,6526151,6580121,PLEKHG5,-
chr1,6581406,6614658,NOL9,-
chr1,6640050,6649340,ZBTB48,+
chr1,6650783,6662958,KLHL21,-
chr1,6673755,6684093,PHF13,+
chr1,6685209,6695646,THAP3,+
chr1,6694227,6761966,DNAJC11,-
chr1,7831328,7841492,VAMP3,+
chr1,8021713,8045342,PARK7,+
chr1,8071778,8086393,ERRFI1,-
chr1,8412463,8877699,RERE,-
chr1,8921058,8939151,ENO1,-
chr1,9299902,9331396,H6PD,+
chr1,9599527,9642831,SLC25A33,+
chr1,9789078,9884584,CLSTN1,-
chr1,9982170,10003485,LZIC,-
chr1,10002980,10045556,NMNAT1,+
chr1,10093040,10241297,UBE4B,+
chr1,10459048,10480568,PGD,+
chr1,10490158,10512060,APITD1-CORT,+
chr1,10490158,10502872,CENPS,+
chr1,10509775,10512060,CORT,+
chr1,10520587,10532613,DFFA,-
chr1,10535002,10690815,PEX14,+
chr1,10696660,10856733,CASZ1,-
chr1,11072678,11085549,TARDBP,+
chr1,11086579,11107296,MASP2,-
chr1,11126669,11159967,EXOSC10,-
chr1,11166587,11322608,MTOR,-
chr1,11249345,11256038,ANGPTL7,+
chr1,11333254,11359629,UBIAD1,+
chr1,11724149,11734411,FBXO6,+
chr1,11734536,11741271,MAD2L2,-
chr1,11796141,11810828,AGTRAP,+
chr1,11845786,11866160,MTHFR,-
chr1,11866152,11903201,CLCN6,+
chr1,11905765,11907840,NPPA,-
chr1,11979644,11986485,KIAA2013,-
chr1,11994723,12035599,PLOD1,+
chr1,12040237,12073572,MFN2,+
chr1,12079298,12092106,MIIP,+
chr1,12627938,12677737,DHRS3,-
chr1,13910251,13944452,PDPN,+
chr1,14075875,14114574,PRDM2,+
chr1,15272414,15394651,KAZN,+
chr1,15817895,15850940,CASP9,-
chr1,15853307,15898228,DNAJC16,+
chr1,15943952,15987552,DDI2,+
chr1,15986207,15988525,RSC1A1,+
chr1,16062808,16067887,SLC25A34,+
chr1,16091458,16113084,FBLIM1,+
chr1,16174358,16266950,SPEN,+
chr1,16268363,16302627,ZBTB17,-
chr1,16450831,16482604,EPHA2,-
chr1,16558181,16563659,RSG1,-
chr1,16573334,16678986,FBXO42,-
chr1,16693524,16724643,SZRD1,+
chr1,16767166,16786585,NECAP2,+
chr1,16888921,16940100,NBPF1,-
chr1,17081128,17090975,MST1L,-
chr1,17248444,17299474,CROCC,+
chr1,17345216,17380665,SDHB,-
chr1,17733250,17766250,RCC2,-
chr1,17944807,18024370,ARHGEF10L,+
chr1,19197923,19229293,ALDH4A1,-
chr1,19400999,19536746,UBR4,-
chr1,19542157,19578053,EMC1,-
chr1,19578074,19586622,MRTO4,+
chr1,19609056,19615280,AKR7A3,-
chr1,19629201,19638640,AKR7A2,-
chr1,19638739,19655794,PQLC2,+
chr1,19923470,19984949,MINOS1-NBL1,+
chr1,19923470,19956315,MINOS1,+
chr1,19969902,19984949,NBL1,+
chr1,20208887,20239438,OTUD3,+
chr1,20808883,20812728,CAMK2N1,-
chr1,20825940,20834674,MUL1,-
chr1,20959947,20978004,PINK1,+
chr1,20978259,20988037,DDOST,-
chr1,21046224,21059133,SH2D5,-
chr1,21069170,21113181,HP1BP3,-
chr1,21132784,21503381,EIF4G3,-
chr1,21543739,21672034,ECE1,-
chr1,21766582,21811393,NBPF3,+
chr1,21922707,21995856,RAP1GAP,-
chr1,22005083,22109688,USP48,-
chr1,22379119,22419436,CDC42,+
chr1,22778343,22857650,ZBTB40,+
chr1,23345940,23410184,KDM1A,+
chr1,23410515,23495351,LUZP1,-
chr1,23631180,23670857,HNRNPR,-
chr1,23685940,23696357,ZNF436,-
chr1,23832919,23857712,E2F2,-
chr1,24018268,24022915,RPL11,+
chr1,24069855,24088549,ELOA,+
chr1,24104875,24114722,PITHD1,+
chr1,24117645,24122029,LYPLA2,+
chr1,24122088,24127294,GALE,-
chr1,24128366,24151949,HMGCL,-
chr1,24171566,24194859,FUCA1,-
chr1,24286300,24289952,PNRC2,+
chr1,24290836,24306953,SRSF10,-
chr1,24480646,24513765,IFNLR1,-
chr1,24683488,24740262,STPG1,-
chr1,24739976,24799473,NIPAL3,+
chr1,24828840,24863510,RCAN3,+
chr1,24969593,24999772,SRRM1,+
chr1,25071759,25170815,CLIC4,+
chr1,25548766,25559013,SYF2,-
chr1,25568727,25664745,RSRP1,-
chr1,25664788,25688852,TMEM50A,+
chr1,25757348,25826700,TMEM57,+
chr1,26146396,26159433,MTFR1L,+
chr1,26158403,26185949,AUNIP,-
chr1,26210676,26232993,STMN1,-
chr1,26286257,26324648,PAFAH2,-
chr1,26348270,26362955,EXTL1,+
chr1,26437655,26452039,PDIK1L,+
chr1,26560643,26605301,CEP85,+
chr1,26608772,26633195,UBXN11,-
chr1,26644410,26647014,CD52,+
chr1,26758772,26797797,DHDDS,+
