chr,start,end,gene_symbol,strand
chr1,910578,917497,PERM1,-
chr1,1109285,1133313,TTLL10,+
chr1,1138887,1142089,TNFRSF18,-
chr1,1567559,1570030,MMP23B,+
chr1,1853389,1935276,CFAP74,-
chr1,1950767,1962192,GABRD,+
chr1,2487803,2497061,TNFRSF14,+
chr1,2522080,2564481,MMEL1,-
chr1,3404505,3528059,MEGF6,-
chr1,4715104,4843851,AJAP1,+
chr1,6475291,6479979,HES2,-
chr1,6484847,6521004,ESPN,+
chr1,6615337,6639817,TAS1R1,+
chr1,6845383,7829766,CAMTA1,+
chr1,7844488,7905241,PER3,+
chr1,7907671,7913551,UTS2,-
chr1,7975930,8003225,TNFRSF9,-
chr1,8378144,8404227,SLC45A1,+
chr1,9005892,9035151,CA6,+
chr1,9063358,9086404,SLC2A7,-
chr1,9097004,9132286,SLC2A5,-
chr1,10057254,10076078,RBP7,+
chr1,11006529,11042094,C1orf127,-
chr1,11708417,11714888,FBXO2,-
chr1,11751780,11780336,DRAXIN,+
chr1,12123433,12204264,TNFRSF8,+
chr1,12227059,12269277,TNFRSF1B,+
chr1,12704565,12727097,AADACL4,+
chr1,12776117,12788726,AADACL3,+
chr1,12806133,12821102,C1orf158,+
chr1,12834990,12838049,PRAMEF12,+
chr1,12851545,12856777,PRAMEF1,+
chr1,12916940,12921764,PRAMEF2,+
chr1,12939032,12946025,PRAMEF4,-
chr1,12952726,12958101,PRAMEF10,-
chr1,12976466,12980300,PRAMEF7,+
chr1,12998301,13007406,PRAMEF6,-
chr1,13035498,13039011,PRAMEF18,+
chr1,13216201,13219584,PRAMEF25,-
chr1,13359818,13369057,PRAMEF5,+
chr1,13409134,13414502,PRAMEF33P,+
chr1,13447413,13452656,PRAMEF13,-
chr1,13607699,13611533,PRAMEF8,-
chr1,13641972,13648987,PRAMEF15,+
chr1,13668268,13673511,PRAMEF14,-
chr1,13694888,13698405,PRAMEF19,-
chr1,13716091,13719089,PRAMEF17,+
chr1,13736906,13747803,PRAMEF20,+
chr1,13801444,13840242,LRRC38,-
chr1,14925212,15444544,KAZN,+
chr1,15490691,15498120,C1orf195,-
chr1,15573767,15724622,FHAD1,+
chr1,15764937,15773153,CTRC,+
chr1,15783222,15798586,CELA2A,+
chr1,16068986,16074292,TMEM82,+
chr1,16330730,16333190,C1orf64,+
chr1,16340522,16345285,HSPB7,-
chr1,16348485,16360545,CLCNKA,+
chr1,16370230,16383821,CLCNKB,+
chr1,17393255,17445948,PADI2,-
chr1,17531620,17572501,PADI1,+
chr1,17575592,17610728,PADI3,+
chr1,17634689,17690495,PADI4,+
chr1,17698690,17728195,PADI6,+
chr1,17866329,18024370,ARHGEF10L,+
chr1,18081807,18153558,ACTL8,+
chr1,18434239,18704977,IGSF21,+
chr1,18807423,18812493,KLHDC7A,+
chr1,18957499,19075360,PAX7,+
chr1,19166092,19186155,TAS1R2,-
chr1,19969722,19984949,NBL1,+
chr1,20008705,20126410,TMCO4,-
chr1,20301923,20306932,PLA2G2A,-
chr1,20396700,20418394,PLA2G5,+
chr1,20439142,20446059,PLA2G2D,-
